Host	Virus	HostTaxID	VirusTaxID	HostNCBIResolved	VirusNCBIResolved	ICTVRatified	HostGenus	HostFamily	HostOrder	HostClass	HostOriginal	VirusGenus	VirusFamily	VirusOrder	VirusClass	VirusOriginal	HostFlagID	DetectionMethod	DetectionOriginal	Database	DatabaseVersion	PublicationYear	ReferenceText	PMID	ReleaseYear	ReleaseMonth	ReleaseDay	CollectionYear	CollectionMonth	CollectionDay	AssocID	DatabaseDOI	NCBIAccession
sus scrofa	coronavirus hku15	9823	1965089	TRUE	TRUE	TRUE	sus	suidae	artiodactyla	mammalia	Sus scrofa	deltacoronavirus	coronaviridae	nidovirales	pisoniviricetes	Coronavirus HKU15	FALSE	PCR/Sequencing	GenBank	GenBank	Aug2021FlatFile				2017	2	6	2015	12	8			KX834352.1
sus scrofa	coronavirus hku15	9823	1965089	TRUE	TRUE	TRUE	sus	suidae	artiodactyla	mammalia	Sus scrofa	deltacoronavirus	coronaviridae	nidovirales	pisoniviricetes	Coronavirus HKU15	FALSE	PCR/Sequencing	GenBank	GenBank	Aug2021FlatFile				2017	3	4	2016	4	1			KY354363.1, KY354364.1
sus scrofa	coronavirus hku15	9823	1965089	TRUE	TRUE	TRUE	sus	suidae	artiodactyla	mammalia	Sus scrofa	deltacoronavirus	coronaviridae	nidovirales	pisoniviricetes	Coronavirus HKU15	FALSE	PCR/Sequencing	GenBank	GenBank	Aug2021FlatFile				2017	4	24	2014	7				KY364365.1
sus scrofa	coronavirus hku15	9823	1965089	TRUE	TRUE	TRUE	sus	suidae	artiodactyla	mammalia	Sus scrofa	deltacoronavirus	coronaviridae	nidovirales	pisoniviricetes	Coronavirus HKU15	FALSE	PCR/Sequencing	GenBank	GenBank	Aug2021FlatFile				2017	4	5	2016	1	2			KY078900.1, KY078902.1, KY078913.1, KY078915.1
sus scrofa	coronavirus hku15	9823	1965089	TRUE	TRUE	TRUE	sus	suidae	artiodactyla	mammalia	Sus scrofa	deltacoronavirus	coronaviridae	nidovirales	pisoniviricetes	Coronavirus HKU15	FALSE	PCR/Sequencing	GenBank	GenBank	Aug2021FlatFile				2017	4	5	2016	1	23			KY078897.1, KY078910.1
sus scrofa	coronavirus hku15	9823	1965089	TRUE	TRUE	TRUE	sus	suidae	artiodactyla	mammalia	Sus scrofa	deltacoronavirus	coronaviridae	nidovirales	pisoniviricetes	Coronavirus HKU15	FALSE	PCR/Sequencing	GenBank	GenBank	Aug2021FlatFile				2017	4	5	2016	1	26			KY078903.1, KY078916.1
sus scrofa	coronavirus hku15	9823	1965089	TRUE	TRUE	TRUE	sus	suidae	artiodactyla	mammalia	Sus scrofa	deltacoronavirus	coronaviridae	nidovirales	pisoniviricetes	Coronavirus HKU15	FALSE	PCR/Sequencing	GenBank	GenBank	Aug2021FlatFile				2017	4	5	2016	1	30			KY078898.1, KY078911.1
sus scrofa	coronavirus hku15	9823	1965089	TRUE	TRUE	TRUE	sus	suidae	artiodactyla	mammalia	Sus scrofa	deltacoronavirus	coronaviridae	nidovirales	pisoniviricetes	Coronavirus HKU15	FALSE	PCR/Sequencing	GenBank	GenBank	Aug2021FlatFile				2017	4	5	2016	1	5			KY078895.1, KY078908.1
sus scrofa	coronavirus hku15	9823	1965089	TRUE	TRUE	TRUE	sus	suidae	artiodactyla	mammalia	Sus scrofa	deltacoronavirus	coronaviridae	nidovirales	pisoniviricetes	Coronavirus HKU15	FALSE	PCR/Sequencing	GenBank	GenBank	Aug2021FlatFile				2017	4	5	2016	2	18			KY078896.1, KY078909.1
sus scrofa	coronavirus hku15	9823	1965089	TRUE	TRUE	TRUE	sus	suidae	artiodactyla	mammalia	Sus scrofa	deltacoronavirus	coronaviridae	nidovirales	pisoniviricetes	Coronavirus HKU15	FALSE	PCR/Sequencing	GenBank	GenBank	Aug2021FlatFile				2017	4	5	2016	2	24			KY078891.1, KY078904.1
sus scrofa	coronavirus hku15	9823	1965089	TRUE	TRUE	TRUE	sus	suidae	artiodactyla	mammalia	Sus scrofa	deltacoronavirus	coronaviridae	nidovirales	pisoniviricetes	Coronavirus HKU15	FALSE	PCR/Sequencing	GenBank	GenBank	Aug2021FlatFile				2017	4	5	2016	2	4			KY078899.1, KY078901.1, KY078912.1, KY078914.1
sus scrofa	coronavirus hku15	9823	1965089	TRUE	TRUE	TRUE	sus	suidae	artiodactyla	mammalia	Sus scrofa	deltacoronavirus	coronaviridae	nidovirales	pisoniviricetes	Coronavirus HKU15	FALSE	PCR/Sequencing	GenBank	GenBank	Aug2021FlatFile				2017	4	5	2016	3	14			KY078894.1, KY078907.1
sus scrofa	coronavirus hku15	9823	1965089	TRUE	TRUE	TRUE	sus	suidae	artiodactyla	mammalia	Sus scrofa	deltacoronavirus	coronaviridae	nidovirales	pisoniviricetes	Coronavirus HKU15	FALSE	PCR/Sequencing	GenBank	GenBank	Aug2021FlatFile				2017	4	5	2016	3	15			KY078892.1, KY078905.1
sus scrofa	coronavirus hku15	9823	1965089	TRUE	TRUE	TRUE	sus	suidae	artiodactyla	mammalia	Sus scrofa	deltacoronavirus	coronaviridae	nidovirales	pisoniviricetes	Coronavirus HKU15	FALSE	PCR/Sequencing	GenBank	GenBank	Aug2021FlatFile				2017	4	5	2016	3	18			KY078893.1, KY078906.1
sus scrofa	coronavirus hku15	9823	1965089	TRUE	TRUE	TRUE	sus	suidae	artiodactyla	mammalia	Sus scrofa	deltacoronavirus	coronaviridae	nidovirales	pisoniviricetes	Coronavirus HKU15	FALSE	PCR/Sequencing	GenBank	GenBank	Aug2021FlatFile				2017	5	28	2017	4	20			MF037204.1
sus scrofa	coronavirus hku15	9823	1965089	TRUE	TRUE	TRUE	sus	suidae	artiodactyla	mammalia	Sus scrofa	deltacoronavirus	coronaviridae	nidovirales	pisoniviricetes	Coronavirus HKU15	FALSE	PCR/Sequencing	GenBank	GenBank	Aug2021FlatFile				2017	5	30	2016	2	10			KY496312.1
sus scrofa	coronavirus hku15	9823	1965089	TRUE	TRUE	TRUE	sus	suidae	artiodactyla	mammalia	Sus scrofa	deltacoronavirus	coronaviridae	nidovirales	pisoniviricetes	Coronavirus HKU15	FALSE	PCR/Sequencing	GenBank	GenBank	Aug2021FlatFile				2017	7	18	2016	5	23			KY293677.1
sus scrofa	coronavirus hku15	9823	1965089	TRUE	TRUE	TRUE	sus	suidae	artiodactyla	mammalia	Sus scrofa	deltacoronavirus	coronaviridae	nidovirales	pisoniviricetes	Coronavirus HKU15	FALSE	PCR/Sequencing	GenBank	GenBank	Aug2021FlatFile				2017	8	13	2016	11				KY926512.1
sus scrofa	coronavirus hku15	9823	1965089	TRUE	TRUE	TRUE	sus	suidae	artiodactyla	mammalia	Sus scrofa	deltacoronavirus	coronaviridae	nidovirales	pisoniviricetes	Coronavirus HKU15	FALSE	PCR/Sequencing	GenBank	GenBank	Aug2021FlatFile				2017	8	13	2016	8				KY926511.1
sus scrofa	coronavirus hku15	9823	1965089	TRUE	TRUE	TRUE	sus	suidae	artiodactyla	mammalia	Sus scrofa	deltacoronavirus	coronaviridae	nidovirales	pisoniviricetes	Coronavirus HKU15	FALSE	PCR/Sequencing	GenBank	GenBank	Aug2021FlatFile				2017	8	9	2014					MF431743.1
sus scrofa	coronavirus hku15	9823	1965089	TRUE	TRUE	TRUE	sus	suidae	artiodactyla	mammalia	Sus scrofa	deltacoronavirus	coronaviridae	nidovirales	pisoniviricetes	Coronavirus HKU15	FALSE	PCR/Sequencing	GenBank	GenBank	Aug2021FlatFile				2017	8	9	2015					MF431742.1
sus scrofa	coronavirus hku15	9823	1965089	TRUE	TRUE	TRUE	sus	suidae	artiodactyla	mammalia	Sus scrofa	deltacoronavirus	coronaviridae	nidovirales	pisoniviricetes	Coronavirus HKU15	FALSE	PCR/Sequencing	GenBank	GenBank	Aug2021FlatFile				2017	9	16	2017	2	15			MF095123.1
sus scrofa	coronavirus hku15	9823	1965089	TRUE	TRUE	TRUE	sus	suidae	artiodactyla	mammalia	Sus scrofa	deltacoronavirus	coronaviridae	nidovirales	pisoniviricetes	Coronavirus HKU15	FALSE	PCR/Sequencing	GenBank	GenBank	Aug2021FlatFile				2017	9	5	2016	4	4			KX710201.1, KX710203.1
sus scrofa	coronavirus hku15	9823	1965089	TRUE	TRUE	TRUE	sus	suidae	artiodactyla	mammalia	Sus scrofa	deltacoronavirus	coronaviridae	nidovirales	pisoniviricetes	Coronavirus HKU15	FALSE	PCR/Sequencing	GenBank	GenBank	Aug2021FlatFile				2017	9	5	2016	4	5			KX710202.1, KX710204.1
sus scrofa	coronavirus hku15	9823	1965089	TRUE	TRUE	TRUE	sus	suidae	artiodactyla	mammalia	Sus scrofa	deltacoronavirus	coronaviridae	nidovirales	pisoniviricetes	Coronavirus HKU15	FALSE	PCR/Sequencing	GenBank	GenBank	Aug2021FlatFile				2018	11	13	2016					MH715491.1
sus scrofa	coronavirus hku15	9823	1965089	TRUE	TRUE	TRUE	sus	suidae	artiodactyla	mammalia	Sus scrofa	deltacoronavirus	coronaviridae	nidovirales	pisoniviricetes	Coronavirus HKU15	FALSE	PCR/Sequencing	GenBank	GenBank	Aug2021FlatFile				2018	11	6	2016	7				MG832584.1
sus scrofa	coronavirus hku15	9823	1965089	TRUE	TRUE	TRUE	sus	suidae	artiodactyla	mammalia	Sus scrofa	deltacoronavirus	coronaviridae	nidovirales	pisoniviricetes	Coronavirus HKU15	FALSE	PCR/Sequencing	GenBank	GenBank	Aug2021FlatFile				2018	12	15	2017	6				MH051845.1
sus scrofa	coronavirus hku15	9823	1965089	TRUE	TRUE	TRUE	sus	suidae	artiodactyla	mammalia	Sus scrofa	deltacoronavirus	coronaviridae	nidovirales	pisoniviricetes	Coronavirus HKU15	FALSE	PCR/Sequencing	GenBank	GenBank	Aug2021FlatFile				2018	12	15	2017	8				MG897688.1
sus scrofa	coronavirus hku15	9823	1965089	TRUE	TRUE	TRUE	sus	suidae	artiodactyla	mammalia	Sus scrofa	deltacoronavirus	coronaviridae	nidovirales	pisoniviricetes	Coronavirus HKU15	FALSE	PCR/Sequencing	GenBank	GenBank	Aug2021FlatFile				2018	2	18	2017	7				MG835612.1
sus scrofa	coronavirus hku15	9823	1965089	TRUE	TRUE	TRUE	sus	suidae	artiodactyla	mammalia	Sus scrofa	deltacoronavirus	coronaviridae	nidovirales	pisoniviricetes	Coronavirus HKU15	FALSE	PCR/Sequencing	GenBank	GenBank	Aug2021FlatFile				2018	2	18	2017	8				MG835611.1
sus scrofa	coronavirus hku15	9823	1965089	TRUE	TRUE	TRUE	sus	suidae	artiodactyla	mammalia	Sus scrofa	deltacoronavirus	coronaviridae	nidovirales	pisoniviricetes	Coronavirus HKU15	FALSE	PCR/Sequencing	GenBank	GenBank	Aug2021FlatFile				2018	4	17	2017	8				MG738720.1
sus scrofa	coronavirus hku15	9823	1965089	TRUE	TRUE	TRUE	sus	suidae	artiodactyla	mammalia	Sus scrofa	deltacoronavirus	coronaviridae	nidovirales	pisoniviricetes	Coronavirus HKU15	FALSE	PCR/Sequencing	GenBank	GenBank	Aug2021FlatFile				2018	4	2	2016					MF280390.1
sus scrofa	coronavirus hku15	9823	1965089	TRUE	TRUE	TRUE	sus	suidae	artiodactyla	mammalia	Sus scrofa	deltacoronavirus	coronaviridae	nidovirales	pisoniviricetes	Coronavirus HKU15	FALSE	PCR/Sequencing	GenBank	GenBank	Aug2021FlatFile				2018	4	22	2017					MG242062.1
sus scrofa	coronavirus hku15	9823	1965089	TRUE	TRUE	TRUE	sus	suidae	artiodactyla	mammalia	Sus scrofa	deltacoronavirus	coronaviridae	nidovirales	pisoniviricetes	Coronavirus HKU15	FALSE	PCR/Sequencing	GenBank	GenBank	Aug2021FlatFile				2018	5	7	2016	11				MG837130.1, MG837131.1, MG837132.1, MG837133.1
sus scrofa	coronavirus hku15	9823	1965089	TRUE	TRUE	TRUE	sus	suidae	artiodactyla	mammalia	Sus scrofa	deltacoronavirus	coronaviridae	nidovirales	pisoniviricetes	Coronavirus HKU15	FALSE	PCR/Sequencing	GenBank	GenBank	Aug2021FlatFile				2018	6	25	2016	8				MF642322.1, MF642323.1
sus scrofa	coronavirus hku15	9823	1965089	TRUE	TRUE	TRUE	sus	suidae	artiodactyla	mammalia	Sus scrofa	deltacoronavirus	coronaviridae	nidovirales	pisoniviricetes	Coronavirus HKU15	FALSE	PCR/Sequencing	GenBank	GenBank	Aug2021FlatFile				2018	6	25	2017	3				MF642325.1
sus scrofa	coronavirus hku15	9823	1965089	TRUE	TRUE	TRUE	sus	suidae	artiodactyla	mammalia	Sus scrofa	deltacoronavirus	coronaviridae	nidovirales	pisoniviricetes	Coronavirus HKU15	FALSE	PCR/Sequencing	GenBank	GenBank	Aug2021FlatFile				2018	6	25	2017	4				MF642324.1
sus scrofa	coronavirus hku15	9823	1965089	TRUE	TRUE	TRUE	sus	suidae	artiodactyla	mammalia	Sus scrofa	deltacoronavirus	coronaviridae	nidovirales	pisoniviricetes	Coronavirus HKU15	FALSE	PCR/Sequencing	GenBank	GenBank	Aug2021FlatFile				2018	7	31	2016	5	23			KY293678.1
sus scrofa	coronavirus hku15	9823	1965089	TRUE	TRUE	TRUE	sus	suidae	artiodactyla	mammalia	Sus scrofa	deltacoronavirus	coronaviridae	nidovirales	pisoniviricetes	Coronavirus HKU15	FALSE	PCR/Sequencing	GenBank	GenBank	Aug2021FlatFile				2018	8	24	2010					NC_039208.1
sus scrofa	coronavirus hku15	9823	1965089	TRUE	TRUE	TRUE	sus	suidae	artiodactyla	mammalia	Sus scrofa	deltacoronavirus	coronaviridae	nidovirales	pisoniviricetes	Coronavirus HKU15	FALSE	PCR/Sequencing	GenBank	GenBank	Aug2021FlatFile				2018	8	27	2018	3	20			MH708123.1, MH708124.1, MH708125.1
sus scrofa	coronavirus hku15	9823	1965089	TRUE	TRUE	TRUE	sus	suidae	artiodactyla	mammalia	Sus scrofa	deltacoronavirus	coronaviridae	nidovirales	pisoniviricetes	Coronavirus HKU15	FALSE	PCR/Sequencing	GenBank	GenBank	Aug2021FlatFile				2019	10	16	2014	9				MK333244.1
sus scrofa	coronavirus hku15	9823	1965089	TRUE	TRUE	TRUE	sus	suidae	artiodactyla	mammalia	Sus scrofa	deltacoronavirus	coronaviridae	nidovirales	pisoniviricetes	Coronavirus HKU15	FALSE	PCR/Sequencing	GenBank	GenBank	Aug2021FlatFile				2019	10	16	2017	3				MK333246.1
sus scrofa	coronavirus hku15	9823	1965089	TRUE	TRUE	TRUE	sus	suidae	artiodactyla	mammalia	Sus scrofa	deltacoronavirus	coronaviridae	nidovirales	pisoniviricetes	Coronavirus HKU15	FALSE	PCR/Sequencing	GenBank	GenBank	Aug2021FlatFile				2019	10	16	2017	6				MK333245.1
sus scrofa	coronavirus hku15	9823	1965089	TRUE	TRUE	TRUE	sus	suidae	artiodactyla	mammalia	Sus scrofa	deltacoronavirus	coronaviridae	nidovirales	pisoniviricetes	Coronavirus HKU15	FALSE	PCR/Sequencing	GenBank	GenBank	Aug2021FlatFile				2019	10	21	2016	11				MK370065.1
sus scrofa	coronavirus hku15	9823	1965089	TRUE	TRUE	TRUE	sus	suidae	artiodactyla	mammalia	Sus scrofa	deltacoronavirus	coronaviridae	nidovirales	pisoniviricetes	Coronavirus HKU15	FALSE	PCR/Sequencing	GenBank	GenBank	Aug2021FlatFile				2019	10	21	2016	9				MK370064.1
sus scrofa	coronavirus hku15	9823	1965089	TRUE	TRUE	TRUE	sus	suidae	artiodactyla	mammalia	Sus scrofa	deltacoronavirus	coronaviridae	nidovirales	pisoniviricetes	Coronavirus HKU15	FALSE	PCR/Sequencing	GenBank	GenBank	Aug2021FlatFile				2019	10	21	2017	2				MK370066.1
sus scrofa	coronavirus hku15	9823	1965089	TRUE	TRUE	TRUE	sus	suidae	artiodactyla	mammalia	Sus scrofa	deltacoronavirus	coronaviridae	nidovirales	pisoniviricetes	Coronavirus HKU15	FALSE	PCR/Sequencing	GenBank	GenBank	Aug2021FlatFile				2019	10	5	2018	8	8			MK673766.1
sus scrofa	coronavirus hku15	9823	1965089	TRUE	TRUE	TRUE	sus	suidae	artiodactyla	mammalia	Sus scrofa	deltacoronavirus	coronaviridae	nidovirales	pisoniviricetes	Coronavirus HKU15	FALSE	PCR/Sequencing	GenBank	GenBank	Aug2021FlatFile				2019	11	4	2017	12	11			MN249445.1
sus scrofa	coronavirus hku15	9823	1965089	TRUE	TRUE	TRUE	sus	suidae	artiodactyla	mammalia	Sus scrofa	deltacoronavirus	coronaviridae	nidovirales	pisoniviricetes	Coronavirus HKU15	FALSE	PCR/Sequencing	GenBank	GenBank	Aug2021FlatFile				2019	12	24	2019	1				MK993519.1
sus scrofa	coronavirus hku15	9823	1965089	TRUE	TRUE	TRUE	sus	suidae	artiodactyla	mammalia	Sus scrofa	deltacoronavirus	coronaviridae	nidovirales	pisoniviricetes	Coronavirus HKU15	FALSE	PCR/Sequencing	GenBank	GenBank	Aug2021FlatFile				2019	4	14	2015					MK478381.1
sus scrofa	coronavirus hku15	9823	1965089	TRUE	TRUE	TRUE	sus	suidae	artiodactyla	mammalia	Sus scrofa	deltacoronavirus	coronaviridae	nidovirales	pisoniviricetes	Coronavirus HKU15	FALSE	PCR/Sequencing	GenBank	GenBank	Aug2021FlatFile				2019	4	14	2017					MK478380.1, MK478382.1, MK478383.1
sus scrofa	coronavirus hku15	9823	1965089	TRUE	TRUE	TRUE	sus	suidae	artiodactyla	mammalia	Sus scrofa	deltacoronavirus	coronaviridae	nidovirales	pisoniviricetes	Coronavirus HKU15	FALSE	PCR/Sequencing	GenBank	GenBank	Aug2021FlatFile				2019	5	14	2018	3				MK005882.1
sus scrofa	coronavirus hku15	9823	1965089	TRUE	TRUE	TRUE	sus	suidae	artiodactyla	mammalia	Sus scrofa	deltacoronavirus	coronaviridae	nidovirales	pisoniviricetes	Coronavirus HKU15	FALSE	PCR/Sequencing	GenBank	GenBank	Aug2021FlatFile				2019	5	8	2018					MK040445.1, MK040446.1, MK040447.1, MK040448.1, MK040449.1, MK040450.1, MK040451.1, MK040452.1, MK040453.1, MK040454.1, MK040455.1
sus scrofa	coronavirus hku15	9823	1965089	TRUE	TRUE	TRUE	sus	suidae	artiodactyla	mammalia	Sus scrofa	deltacoronavirus	coronaviridae	nidovirales	pisoniviricetes	Coronavirus HKU15	FALSE	PCR/Sequencing	GenBank	GenBank	Aug2021FlatFile				2019	6	25	2017	4				MK378621.1, MK378622.1, MK378623.1, MK378624.1, MK378625.1, MK378626.1, MK378627.1, MK378628.1, MK378629.1, MK378630.1, MK378631.1, MK378632.1, MK378633.1, MK378634.1, MK378635.1
sus scrofa	coronavirus hku15	9823	1965089	TRUE	TRUE	TRUE	sus	suidae	artiodactyla	mammalia	Sus scrofa	deltacoronavirus	coronaviridae	nidovirales	pisoniviricetes	Coronavirus HKU15	FALSE	PCR/Sequencing	GenBank	GenBank	Aug2021FlatFile				2019	6	30	2017	12	24			MK211169.1
sus scrofa	coronavirus hku15	9823	1965089	TRUE	TRUE	TRUE	sus	suidae	artiodactyla	mammalia	Sus scrofa	deltacoronavirus	coronaviridae	nidovirales	pisoniviricetes	Coronavirus HKU15	FALSE	PCR/Sequencing	GenBank	GenBank	Aug2021FlatFile				2019	7	27	2017	2				MK330604.1
sus scrofa	coronavirus hku15	9823	1965089	TRUE	TRUE	TRUE	sus	suidae	artiodactyla	mammalia	Sus scrofa	deltacoronavirus	coronaviridae	nidovirales	pisoniviricetes	Coronavirus HKU15	FALSE	PCR/Sequencing	GenBank	GenBank	Aug2021FlatFile				2019	7	27	2018	1				MK330605.1
sus scrofa	coronavirus hku15	9823	1965089	TRUE	TRUE	TRUE	sus	suidae	artiodactyla	mammalia	Sus scrofa	deltacoronavirus	coronaviridae	nidovirales	pisoniviricetes	Coronavirus HKU15	FALSE	PCR/Sequencing	GenBank	GenBank	Aug2021FlatFile				2019	7	8	2016	2	20			MK355396.1
sus scrofa	coronavirus hku15	9823	1965089	TRUE	TRUE	TRUE	sus	suidae	artiodactyla	mammalia	Sus scrofa	deltacoronavirus	coronaviridae	nidovirales	pisoniviricetes	Coronavirus HKU15	FALSE	PCR/Sequencing	GenBank	GenBank	Aug2021FlatFile				2019	7	8	2017	6				MK572803.1
sus scrofa	coronavirus hku15	9823	1965089	TRUE	TRUE	TRUE	sus	suidae	artiodactyla	mammalia	Sus scrofa	deltacoronavirus	coronaviridae	nidovirales	pisoniviricetes	Coronavirus HKU15	FALSE	PCR/Sequencing	GenBank	GenBank	Aug2021FlatFile				2019	9	3	2016	2	16			MN064712.1
sus scrofa	coronavirus hku15	9823	1965089	TRUE	TRUE	TRUE	sus	suidae	artiodactyla	mammalia	Sus scrofa	deltacoronavirus	coronaviridae	nidovirales	pisoniviricetes	Coronavirus HKU15	FALSE	PCR/Sequencing	GenBank	GenBank	Aug2021FlatFile				2020	1	1	2015	12				KX998969.1
sus scrofa	coronavirus hku15	9823	1965089	TRUE	TRUE	TRUE	sus	suidae	artiodactyla	mammalia	Sus scrofa	deltacoronavirus	coronaviridae	nidovirales	pisoniviricetes	Coronavirus HKU15	FALSE	PCR/Sequencing	GenBank	GenBank	Aug2021FlatFile				2020	1	21	2017	1	18			MN025260.1
sus scrofa	coronavirus hku15	9823	1965089	TRUE	TRUE	TRUE	sus	suidae	artiodactyla	mammalia	Sus scrofa	deltacoronavirus	coronaviridae	nidovirales	pisoniviricetes	Coronavirus HKU15	FALSE	PCR/Sequencing	GenBank	GenBank	Aug2021FlatFile				2020	10	27	2015					MN942260.1
sus scrofa	coronavirus hku15	9823	1965089	TRUE	TRUE	TRUE	sus	suidae	artiodactyla	mammalia	Sus scrofa	deltacoronavirus	coronaviridae	nidovirales	pisoniviricetes	Coronavirus HKU15	FALSE	PCR/Sequencing	GenBank	GenBank	Aug2021FlatFile				2020	12	2	2019					MW196362.1
sus scrofa	coronavirus hku15	9823	1965089	TRUE	TRUE	TRUE	sus	suidae	artiodactyla	mammalia	Sus scrofa	deltacoronavirus	coronaviridae	nidovirales	pisoniviricetes	Coronavirus HKU15	FALSE	PCR/Sequencing	GenBank	GenBank	Aug2021FlatFile				2020	12	31						MH118331.1, MH118332.1, MH118333.1
sus scrofa	coronavirus hku15	9823	1965089	TRUE	TRUE	TRUE	sus	suidae	artiodactyla	mammalia	Sus scrofa	deltacoronavirus	coronaviridae	nidovirales	pisoniviricetes	Coronavirus HKU15	FALSE	PCR/Sequencing	GenBank	GenBank	Aug2021FlatFile				2020	3	6	2016					MH025762.1, MH025763.1, MH025764.1
sus scrofa	coronavirus hku15	9823	1965089	TRUE	TRUE	TRUE	sus	suidae	artiodactyla	mammalia	Sus scrofa	deltacoronavirus	coronaviridae	nidovirales	pisoniviricetes	Coronavirus HKU15	FALSE	PCR/Sequencing	GenBank	GenBank	Aug2021FlatFile				2020	4	12	2018					MN173783.1, MN173784.1, MN173785.1, MN173786.1, MN173787.1, MN173788.1, MN173789.1, MN173790.1, MN173791.1, MN173792.1, MN173793.1, MN173794.1, MN173795.1, MN173796.1, MN173797.1, MN173798.1, MN173799.1, MN173800.1, MN173801.1, MN173802.1, MN173803.1, MN173804.1, MN173805.1, MN173806.1, MN173807.1, MN173808.1, MN173809.1, MN173810.1, MN173811.1, MN173812.1
sus scrofa	coronavirus hku15	9823	1965089	TRUE	TRUE	TRUE	sus	suidae	artiodactyla	mammalia	Sus scrofa	deltacoronavirus	coronaviridae	nidovirales	pisoniviricetes	Coronavirus HKU15	FALSE	PCR/Sequencing	GenBank	GenBank	Aug2021FlatFile				2020	5	22	2018					MN058045.1, MN058046.1, MN058047.1, MN058048.1, MN058049.1, MN058050.1, MN058051.1, MN058052.1, MN058053.1, MN058054.1, MN058055.1, MN058056.1, MN058057.1, MN058058.1, MN058059.1, MN058060.1, MN058061.1, MN058062.1, MN058063.1, MN058064.1, MN058065.1, MN058066.1, MN058067.1, MN058068.1, MN058069.1, MN058070.1, MN058071.1, MN058072.1, MN058073.1
sus scrofa	coronavirus hku15	9823	1965089	TRUE	TRUE	TRUE	sus	suidae	artiodactyla	mammalia	Sus scrofa	deltacoronavirus	coronaviridae	nidovirales	pisoniviricetes	Coronavirus HKU15	FALSE	PCR/Sequencing	GenBank	GenBank	Aug2021FlatFile				2020	5	31	2013	2				KX361343.1
sus scrofa	coronavirus hku15	9823	1965089	TRUE	TRUE	TRUE	sus	suidae	artiodactyla	mammalia	Sus scrofa	deltacoronavirus	coronaviridae	nidovirales	pisoniviricetes	Coronavirus HKU15	FALSE	PCR/Sequencing	GenBank	GenBank	Aug2021FlatFile				2020	5	31	2013	3				KX361344.1
sus scrofa	coronavirus hku15	9823	1965089	TRUE	TRUE	TRUE	sus	suidae	artiodactyla	mammalia	Sus scrofa	deltacoronavirus	coronaviridae	nidovirales	pisoniviricetes	Coronavirus HKU15	FALSE	PCR/Sequencing	GenBank	GenBank	Aug2021FlatFile				2020	5	31	2015	12				KX361345.1
sus scrofa	coronavirus hku15	9823	1965089	TRUE	TRUE	TRUE	sus	suidae	artiodactyla	mammalia	Sus scrofa	deltacoronavirus	coronaviridae	nidovirales	pisoniviricetes	Coronavirus HKU15	FALSE	PCR/Sequencing	GenBank	GenBank	Aug2021FlatFile				2020	6	15	2017					MT263013.1
sus scrofa	coronavirus hku15	9823	1965089	TRUE	TRUE	TRUE	sus	suidae	artiodactyla	mammalia	Sus scrofa	deltacoronavirus	coronaviridae	nidovirales	pisoniviricetes	Coronavirus HKU15	FALSE	PCR/Sequencing	GenBank	GenBank	Aug2021FlatFile				2020	7	22	2018					MK359104.1
sus scrofa	coronavirus hku15	9823	1965089	TRUE	TRUE	TRUE	sus	suidae	artiodactyla	mammalia	Sus scrofa	deltacoronavirus	coronaviridae	nidovirales	pisoniviricetes	Coronavirus HKU15	FALSE	PCR/Sequencing	GenBank	GenBank	Aug2021FlatFile				2020	9	22						MN781985.1
sus scrofa	coronavirus hku15	9823	1965089	TRUE	TRUE	TRUE	sus	suidae	artiodactyla	mammalia	Sus scrofa	deltacoronavirus	coronaviridae	nidovirales	pisoniviricetes	Coronavirus HKU15	FALSE	PCR/Sequencing	GenBank	GenBank	Aug2021FlatFile				2021	1	1	2018	10				MK625638.1, MK625639.1, MK625640.1, MK625641.1
sus scrofa	coronavirus hku15	9823	1965089	TRUE	TRUE	TRUE	sus	suidae	artiodactyla	mammalia	Sus scrofa	deltacoronavirus	coronaviridae	nidovirales	pisoniviricetes	Coronavirus HKU15	FALSE	PCR/Sequencing	GenBank	GenBank	Aug2021FlatFile				2021	3	10	2019	10				MT227371.1
sus scrofa	coronavirus hku15	9823	1965089	TRUE	TRUE	TRUE	sus	suidae	artiodactyla	mammalia	Sus scrofa	deltacoronavirus	coronaviridae	nidovirales	pisoniviricetes	Coronavirus HKU15	FALSE	PCR/Sequencing	GenBank	GenBank	Aug2021FlatFile				2021	5	5	2018	5	25			MT260149.1
sus scrofa	coronavirus hku15	9823	1965089	TRUE	TRUE	TRUE	sus	suidae	artiodactyla	mammalia	Sus scrofa	deltacoronavirus	coronaviridae	nidovirales	pisoniviricetes	Coronavirus HKU15	FALSE	PCR/Sequencing	GenBank	GenBank	Aug2021FlatFile				2021	5	5	2018	6	5			MT260150.1
sus scrofa	coronavirus hku15	9823	1965089	TRUE	TRUE	TRUE	sus	suidae	artiodactyla	mammalia	Sus scrofa	deltacoronavirus	coronaviridae	nidovirales	pisoniviricetes	Coronavirus HKU15	FALSE	PCR/Sequencing	GenBank	GenBank	Aug2021FlatFile				2021	6	28	2014					MZ291567.1
