encoding,name,country,director,actor,vote,score,year,link
tt0914798,穿条纹睡衣的男孩, 英国 ,马克·赫尔曼,"'阿萨·巴特菲尔德', '维拉·法米加', '卡拉·霍根', '祖萨·霍尔', '安贝尔·比蒂'",513237,9.2,2008,https://movie.douban.com/subject/3008247/
tt0113703,情书, 日本,岩井俊二,"'中山美穗', '丰川悦司', '酒井美纪', '柏原崇', '范文雀'",1012552,8.9,1995,https://movie.douban.com/subject/1292220/
tt0120735,两杆大烟枪, 英国,盖·里奇,"'杰森·弗莱明', '德克斯特·弗莱彻', '尼克·莫兰', '杰森·斯坦森', '斯蒂文·麦金托什'",558681,9.1,1998,https://movie.douban.com/subject/1293350/
tt0213847,西西里的美丽传说, 意大利 ,朱塞佩·托纳多雷,"'莫妮卡·贝鲁奇', '朱塞佩·苏尔法罗', '玛蒂尔德·皮亚纳', '埃丽萨·莫鲁奇', '奥罗拉·夸特罗基'",910582,8.9,2000,https://movie.douban.com/subject/1292402/
tt4857264,看不见的客人, 西班牙,奥里奥尔·保罗,"'马里奥·卡萨斯', '阿娜·瓦格纳', '何塞·科罗纳多', '巴巴拉·莱涅', '弗兰塞斯克·奥雷利亚'",1163236,8.8,2016,https://movie.douban.com/subject/26580232/
tt0059742,音乐之声, 美国,罗伯特·怀斯,"'朱莉·安德鲁斯', '克里斯托弗·普卢默', '埃琳诺·帕克', '理查德·海顿', '佩吉·伍德'",559262,9.1,1965,https://movie.douban.com/subject/1294408/
tt0120815,拯救大兵瑞恩, 美国,史蒂文·斯皮尔伯格,"'汤姆·汉克斯', '汤姆·塞兹摩尔', '爱德华·伯恩斯', '巴里·佩珀', '亚当·戈德堡'",603714,9.1,1998,https://movie.douban.com/subject/1292849/
tt0073486,飞越疯人院, 美国,米洛斯·福尔曼,"'杰克·尼科尔森', '丹尼·德维托', '克里斯托弗·洛伊德', '路易丝·弗莱彻', '威尔·萨姆森'",517346,9.1,1975,https://movie.douban.com/subject/1292224/
tt0118849,小鞋子, 伊朗,马基德·马基迪,"'默罕默德·阿米尔·纳吉', '法拉赫阿米尔·哈什米安', '巴哈丽·西迪奇', '纳菲丝·贾法-穆罕默迪', '费雷什特·萨拉班迪'",380203,9.2,1997,https://movie.douban.com/subject/1303021/
tt0499549,阿凡达, 美国,詹姆斯·卡梅隆,"'萨姆·沃辛顿', '佐伊·索尔达娜', '西格妮·韦弗', '史蒂芬·朗', '米歇尔·罗德里格兹'",1291468,8.8,2009,https://movie.douban.com/subject/1652587/
tt1201607,哈利·波特与死亡圣器(下), 美国 ,大卫·叶茨,"'丹尼尔·雷德克里夫', '艾玛·沃森', '鲁伯特·格林特', '海伦娜·伯翰·卡特', '拉尔夫·费因斯'",761114,8.9,2011,https://movie.douban.com/subject/3011235/
tt0102926,沉默的羔羊, 美国,乔纳森·戴米,"'朱迪·福斯特', '安东尼·霍普金斯', '斯科特·格伦', '安东尼·希尔德', '布鲁克·史密斯'",818908,8.9,1991,https://movie.douban.com/subject/1293544/
tt0482571,致命魔术, 英国 ,克里斯托弗·诺兰,"'休·杰克曼', '克里斯蒂安·贝尔', '迈克尔·凯恩', '丽贝卡·豪尔', '斯嘉丽·约翰逊'",800284,8.9,2006,https://movie.douban.com/subject/1780330/
tt1130884,禁闭岛, 美国,马丁·斯科塞斯,"'莱昂纳多·迪卡普里奥', '马克·鲁弗洛', '本·金斯利', '马克斯·冯·叙多夫', '米歇尔·威廉姆斯'",900329,8.9,2010,https://movie.douban.com/subject/2334904/
tt2278388,布达佩斯大饭店, 美国 ,韦斯·安德森,"'拉尔夫·费因斯', '托尼·雷沃罗利', '艾德里安·布洛迪', '威廉·达福', '裘德·洛'",854770,8.9,2014,https://movie.douban.com/subject/11525673/
tt1313104,海豚湾, 美国,路易·西霍尤斯,"'路易·西霍尤斯', 'Hayato Sakurai', 'Mandy-Rae Cruikshank', 'Kirk Krack', '伊莎贝尔·卢卡斯'",341216,9.3,2009,https://movie.douban.com/subject/3442220/
tt0289879,蝴蝶效应, 美国 ,埃里克·布雷斯,"'阿什顿·库彻', '梅洛拉·沃尔特斯', '艾米·斯马特', '埃尔登·汉森', '威廉姆·李·斯科特'",872318,8.9,2004,https://movie.douban.com/subject/1292343/
tt0087843,美国往事, 美国 ,赛尔乔·莱昂内,"'罗伯特·德尼罗', '詹姆斯·伍兹', '伊丽莎白·麦戈文', '乔·佩西', '波特·杨'",385105,9.2,1984,https://movie.douban.com/subject/1292262/
tt0119217,心灵捕手, 美国,格斯·范·桑特,"'马特·达蒙', '罗宾·威廉姆斯', '本·阿弗莱克', '斯特兰·斯卡斯加德', '明妮·德里弗'",659519,8.9,1997,https://movie.douban.com/subject/1292656/
tt0110912,低俗小说, 美国,昆汀·塔伦蒂诺,"'约翰·特拉沃尔塔', '乌玛·瑟曼', '阿曼达·普拉莫', '蒂姆·罗斯', '塞缪尔·杰克逊'",774981,8.9,1994,https://movie.douban.com/subject/1291832/
tt0118845,春光乍泄, 中国香港 ,王家卫,"'张国荣', '梁朝伟', '张震', '格利高里·戴顿'",586595,9.0,1997,https://movie.douban.com/subject/1292679/
tt0027977,摩登时代, 美国,查理·卓别林,"'查理·卓别林', '宝莲·高黛', '亨利·伯格曼', '蒂尼·桑福德', '切斯特·康克林'",276897,9.3,1936,https://movie.douban.com/subject/1294371/
tt0188766,喜剧之王, 中国香港,周星驰,"'周星驰', '张柏芝', '莫文蔚', '吴孟达', '林子善'",898895,8.8,1999,https://movie.douban.com/subject/1302425/
tt0114369,七宗罪, 美国,大卫·芬奇,"'摩根·弗里曼', '布拉德·皮特', '凯文·史派西', '格温妮斯·帕特洛', '安德鲁·凯文·沃克'",888831,8.8,1995,https://movie.douban.com/subject/1292223/
tt0373074,功夫, 中国大陆 ,周星驰,"'周星驰', '元秋', '元华', '黄圣依', '梁小龙'",1015143,8.8,2004,https://movie.douban.com/subject/1291543/
tt0304141,哈利·波特与阿兹卡班的囚徒, 英国 ,阿方索·卡隆,"'丹尼尔·雷德克里夫', '艾玛·沃森', '鲁伯特·格林特', '加里·奥德曼', '朱丽·沃特斯'",651582,8.9,2004,https://movie.douban.com/subject/1291544/
tt0309698,致命ID, 美国,詹姆斯·曼高德,"'约翰·库萨克', '雷·利奥塔', '阿曼达·皮特', '约翰·浩克斯', '阿尔弗雷德·莫里纳'",758337,8.8,2003,https://movie.douban.com/subject/1297192/
tt1683526,超脱, 美国,托尼·凯耶,"'艾德里安·布洛迪', '马西娅·盖伊·哈登', '詹姆斯·肯恩', '克里斯蒂娜·亨德里克斯', '刘玉玲'",522674,9.0,2011,https://movie.douban.com/subject/5322596/
tt0353969,杀人回忆, 韩国,奉俊昊,"'宋康昊', '金相庆', '金雷夏', '宋在浩', '边希峰'",651352,8.9,2003,https://movie.douban.com/subject/1300299/
tt0325980,加勒比海盗, 美国,戈尔·维宾斯基,"'约翰尼·德普', '杰弗里·拉什', '奥兰多·布鲁姆', '凯拉·奈特莉', '杰克·达文波特'",802922,8.8,2003,https://movie.douban.com/subject/1298070/
tt0851578,红辣椒, 日本,今敏,"'林原惠美', '江守彻', '堀胜之祐', '古谷彻', '大塚明夫'",418486,9.1,2006,https://movie.douban.com/subject/1865703/
tt0768120,被嫌弃的松子的一生, 日本,中岛哲也,"'中谷美纪', '永山瑛太', '香川照之', '市川实日子', '伊势谷友介'",664643,8.9,2006,https://movie.douban.com/subject/1787291/
tt2106476,狩猎, 丹麦 ,托马斯·温特伯格,"'麦斯·米科尔森', '托玛斯·博·拉森', '安妮卡·韦德科普', '拉丝·弗格斯托姆', '苏西·沃德'",357621,9.1,2012,https://movie.douban.com/subject/6985810/
tt5726616,请以你的名字呼唤我, 意大利 ,卢卡·瓜达尼诺,"'艾米·汉莫', '蒂莫西·柴勒梅德', '迈克尔·斯图巴', '阿蜜拉·卡萨', '艾斯特·加瑞尔'",665420,8.9,2017,https://movie.douban.com/subject/26799731/
tt2659414,7号房的礼物, 韩国,李焕庆,"'柳承龙', '朴信惠', '郑镇荣', '金正泰', '吴达洙'",514981,8.9,2013,https://movie.douban.com/subject/10777687/
tt0099487,剪刀手爱德华, 美国,蒂姆·波顿,"'约翰尼·德普', '薇诺娜·瑞德', '黛安·韦斯特', '安东尼·迈克尔·豪尔', '凯西·贝克'",983763,8.7,1990,https://movie.douban.com/subject/1292370/
tt0388795,断背山, 美国 ,李安,"'希斯·莱杰', '杰克·吉伦哈尔', '米歇尔·威廉姆斯', '安妮·海瑟薇', '凯特·玛拉'",667355,8.8,2005,https://movie.douban.com/subject/1418834/
tt0112573,勇敢的心, 美国,梅尔·吉布森,"'梅尔·吉布森', '苏菲·玛索', '布莱恩·考克斯', '詹姆斯·科兹莫', '辛·劳洛'",533568,8.9,1995,https://movie.douban.com/subject/1294639/
tt0108289,唐伯虎点秋香, 中国香港,李力持,"'周星驰', '巩俐', '陈百祥', '郑佩佩', '朱咪咪'",996090,8.7,1993,https://movie.douban.com/subject/1306249/
tt0295297,哈利·波特与密室, 英国 ,克里斯·哥伦布,"'丹尼尔·雷德克里夫', '艾玛·沃森', '鲁伯特·格林特', '汤姆·费尔顿', '理查德·格雷弗斯'",677675,8.8,2002,https://movie.douban.com/subject/1296996/
tt0244316,一一, 中国台湾 ,杨德昌,"'李凯莉', '金燕玲', '张洋洋', '萧淑慎', '尾形一成'",350123,9.1,2000,https://movie.douban.com/subject/1292434/
tt1069238,入殓师, 日本,泷田洋二郎,"'本木雅弘', '广末凉子', '山崎努', '吉行和子', '笹野高史'",620241,8.9,2008,https://movie.douban.com/subject/2149806/
tt0167404,第六感, 美国,M·奈特·沙马兰,"'布鲁斯·威利斯', '海利·乔·奥斯蒙', '托妮·科莱特', '奥莉维亚·威廉姆斯', '唐尼·沃尔伯格'",517435,8.9,1999,https://movie.douban.com/subject/1297630/
tt0112471,爱在黎明破晓前, 美国 ,理查德·林克莱特,"'伊桑·霍克', '朱莉·德尔佩', '安德莉亚·埃克特', '汉诺·波西尔', '卡尔·布拉克施魏格尔'",619413,8.8,1995,https://movie.douban.com/subject/1296339/
tt0109424,重庆森林, 中国香港,王家卫,"'林青霞', '金城武', '梁朝伟', '王菲', '周嘉玲'",750291,8.8,1994,https://movie.douban.com/subject/1291999/
tt1345836,蝙蝠侠：黑暗骑士崛起, 美国 ,克里斯托弗·诺兰,"'克里斯蒂安·贝尔', '汤姆·哈迪', '安妮·海瑟薇', '约瑟夫·高登-莱维特', '玛丽昂·歌迪亚'",672173,8.8,2012,https://movie.douban.com/subject/3395373/
tt0211915,天使爱美丽, 法国 ,让-皮埃尔·热内,"'奥黛丽·塔图', '马修·卡索维茨', '吕菲斯', '洛莱拉·克拉沃塔', '塞尔·梅林'",917844,8.7,2001,https://movie.douban.com/subject/1292215/
tt0119698,幽灵公主, 日本,宫崎骏,"'松田洋治', '石田百合子', '田中裕子', '小林薰', '西村雅彦'",489882,8.9,1997,https://movie.douban.com/subject/1297359/
tt0199683,菊次郎的夏天, 日本,北野武,"'北野武', '关口雄介', '岸本加世子', '吉行和子', '细川典江'",551947,8.9,1999,https://movie.douban.com/subject/1293359/
tt3474600,小森林 夏秋篇, 日本,森淳一,"'桥本爱', '三浦贵大', '松冈茉优', '温水洋一', '桐岛加恋'",397596,9.0,2014,https://movie.douban.com/subject/25814705/
tt0111786,阳光灿烂的日子, 中国大陆 ,姜文,"'夏雨', '宁静', '陶虹', '耿乐', '斯琴高娃'",574619,8.9,1994,https://movie.douban.com/subject/1291875/
tt2245084,超能陆战队, 美国,唐·霍尔,"'斯科特·安第斯', '瑞恩·波特', '丹尼尔·海尼', 'T·J·米勒', '郑智麟'",941500,8.7,2014,https://movie.douban.com/subject/11026735/
tt0107808,完美的世界, 美国,克林特·伊斯特伍德,"'凯文·科斯特纳', '劳拉·邓恩', '克林特·伊斯特伍德', 'T·J·劳瑟', '基斯·斯扎拉巴基克'",288473,9.1,1993,https://movie.douban.com/subject/1300992/
tt0381681,爱在日落黄昏时, 美国 ,理查德·林克莱特,"'伊桑·霍克', '朱莉·德尔佩', '弗农·多布切夫', '路易丝·勒莫瓦纳·托雷斯', '罗多尔·保利'",510141,8.9,2004,https://movie.douban.com/subject/1291990/
tt0408664,无人知晓, 日本,是枝裕和,"'柳乐优弥', '北浦爱', '木村飞影', '清水萌萌子', '韩英惠'",292994,9.1,2004,https://movie.douban.com/subject/1292337/
tt2267998,消失的爱人, 美国,大卫·芬奇,"'本·阿弗莱克', '裴淳华', '尼尔·帕特里克·哈里斯', '凯莉·库恩', '泰勒·派瑞'",863690,8.7,2014,https://movie.douban.com/subject/21318488/
tt1568921,借东西的小人阿莉埃蒂, 日本,米林宏昌,"'志田未来', '神木隆之介', '树木希林', '三浦友和', '大竹忍'",511896,8.9,2010,https://movie.douban.com/subject/4202302/
