encoding,name,description,country,director,actor,vote,score,year,link
tt0910970,机器人总动员,"公元2805年，人类文明高度发展，却因污染和生活垃圾大量增加使得地球不再适于人类居住。地球人被迫乘坐飞船离开故乡，进行一次漫长无边的宇宙之旅。临行前他们委托Buynlarge的公司对地球垃圾进行清理，..."" ", 美国,安德鲁·斯坦顿,"'本·贝尔特', '艾丽莎·奈特', '杰夫·格尔林', '佛莱德·威拉特', '西格妮·韦弗'",1235106人评价,9.3,2008,https://movie.douban.com/subject/2131459/
tt0372824,放牛班的春天,"1949年的法国乡村，音乐家克莱门特（热拉尔·朱尼奥 饰）到了一间外号叫“塘低”的男子寄宿学校当助理教师。学校里的学生大部分都是难缠的问题儿童，体罚在这里司空见惯，学校的校长（弗朗索瓦·贝莱昂 饰）只..."" ", 法国 ,克里斯托夫·巴拉蒂,"'让-巴蒂斯特·莫尼耶', '热拉尔·朱尼奥', '弗朗索瓦·贝莱昂', '凯德·麦拉德', '让-保罗·博奈雷'",1218590人评价,9.3,2004,https://movie.douban.com/subject/1291549/
tt0338564,无间道,"1991年，香港黑帮三合会会员刘健明（刘德华）听从老大韩琛（曾志伟）的吩咐，加入警察部队成为黑帮卧底，韩琛许诺刘健明会帮其在七年后晋升为见习督察。1992年，警察训练学校优秀学员陈永仁（梁朝伟）被上级..."" ", 中国香港,刘伟强,"'刘德华', '梁朝伟', '黄秋生', '曾志伟', '郑秀文'",1249045人评价,9.3,2002,https://movie.douban.com/subject/1307914/
tt2948356,疯狂动物城,"故事发生在一个所有哺乳类动物和谐共存的美好世界中，兔子朱迪（金妮弗·古德温 Ginnifer Goodwin 配音）从小就梦想着能够成为一名惩恶扬善的刑警，凭借着智慧和努力，朱迪成功的从警校中毕业进入..."" ", 美国,拜伦·霍华德,"'金妮弗·古德温', '杰森·贝特曼', '伊德里斯·艾尔巴', '珍妮·斯蕾特', '内特·托伦斯'",1772825人评价,9.2,2016,https://movie.douban.com/subject/25662329/
tt0114996,大话西游之大圣娶亲,, 中国香港 ,刘镇伟,"'周星驰', '吴孟达', '朱茵', '蔡少芬', '蓝洁瑛'",1433062人评价,9.2,1995,https://movie.douban.com/subject/1292213/
tt2070649,熔炉,"来自首尔的哑语美术老师仁浩（孔宥 饰）来到雾津，应聘慈爱聋哑人学校。天降大雾，他意外撞车，维修时邂逅了人权组织成员柔珍（郑有美 饰）。仁浩妻子早亡，8岁女儿天生哮喘由祖母照看，所以他不辞辛苦谋职养家。..."" ", 韩国,黄东赫,"'孔刘', '郑有美', '金贤秀', '郑仁絮', '白承焕'",872266人评价,9.3,2011,https://movie.douban.com/subject/5912992/
tt0051201,控方证人,"伦敦著名刑案辩护律师韦菲爵士（查尔斯•劳顿 Charles Laughton 饰）接受了心脏病治疗，但是身体依旧虚弱，第一天回家休养，护士一直严厉监督他服药，并杜绝烟酒。管家为了便于上楼，还专门为他修..."" ", 美国,比利·怀尔德,"'泰隆·鲍华', '玛琳·黛德丽', '查尔斯·劳顿', '埃尔莎·兰彻斯特', '约翰·威廉姆斯'",485114人评价,9.6,1957,https://movie.douban.com/subject/1296141/
tt0068646,教父,, 美国,弗朗西斯·福特·科波拉,"'马龙·白兰度', '阿尔·帕西诺', '詹姆斯·肯恩', '理查德·卡斯特尔诺', '罗伯特·杜瓦尔'",893220人评价,9.3,1972,https://movie.douban.com/subject/1291841/
tt0454921,当幸福来敲门,"克里斯•加纳（威尔·史密斯 Will Smith 饰）用尽全部积蓄买下了高科技治疗仪，到处向医院推销，可是价格高昂，接受的人不多。就算他多努力都无法提供一个良好的生活环境给妻儿，妻子（桑迪·牛顿 Th..."" ", 美国,加布里埃莱·穆奇诺,"'威尔·史密斯', '贾登·史密斯', '坦迪·牛顿', '布莱恩·豪威 ', '詹姆斯·凯伦'",1422691人评价,9.2,2006,https://movie.douban.com/subject/1849031/
tt1675434,触不可及,"因为一次跳伞事故，白人富翁菲利普Philippe（弗朗索瓦·克鲁塞 François Cluzet 饰）瘫痪在床，欲招聘一名全职陪护。由于薪酬高，应聘者云集，个个舌灿莲花，却无法打动他的心。直到黑人德..."" ", 法国,奥利维埃·纳卡什,"'弗朗索瓦·克鲁塞', '奥玛·希', '安娜·勒尼', '奥德雷·弗勒罗', '约瑟芬娜·德·摩'",1008140人评价,9.3,2011,https://movie.douban.com/subject/6786002/
