Phylum,Class,Order,Family,Genus,Species
Peploviricota,Herviviricetes,Herpesvirales,Herpesviridae,Lymphocryptovirus,Cercopithecus kandti lymphocryptovirus
Peploviricota,Herviviricetes,Herpesvirales,Herpesviridae,Rhadinovirus,Cercopithecus kandti rhadinovirus
Artverviricota,Revtraviricetes,Ortervirales,Retroviridae,,Simian T-cell lymphotropic virus 5
Artverviricota,Revtraviricetes,Ortervirales,Retroviridae,Deltaretrovirus,Simian T-cell lymphotropic virus 6
Preplasmiviricota,Tectiliviricetes,Rowavirales,Adenoviridae,Mastadenovirus,unidentified simian adenovirus
Peploviricota,Herviviricetes,Herpesvirales,Herpesviridae,Lymphocryptovirus,Cercopithecus neglectus lymphocryptovirus 1
Peploviricota,Herviviricetes,Herpesvirales,Herpesviridae,Lymphocryptovirus,Cercopithecus neglectus lymphocryptovirus 2
Pisuviricota,Pisoniviricetes,Nidovirales,Arteriviridae,Iotaarterivirus,Iotaarterivirus debrazmo
Kitrinoviricota,Flasuviricetes,Amarillovirales,Flaviviridae,Flavivirus,Bouboui virus
Peploviricota,Herviviricetes,Herpesvirales,Herpesviridae,Lymphocryptovirus,Cercopithecus nictitans lymphocryptovirus 1
Cossaviricota,Quintoviricetes,Piccovirales,Parvoviridae,Bocaparvovirus,Primate bocaparvovirus 2
Pisuviricota,Pisoniviricetes,Picornavirales,Picornaviridae,Kobuvirus,Kobuvirus sp.
Peploviricota,Herviviricetes,Herpesvirales,Herpesviridae,Varicellovirus,Cervid alphaherpesvirus 3
Cressdnaviricota,Arfiviricetes,Cirlivirales,Circoviridae,,Elk circovirus Banff/2019
Peploviricota,Herviviricetes,Herpesvirales,Herpesviridae,,Elk gammaherpesvirus 1
Peploviricota,Herviviricetes,Herpesvirales,Herpesviridae,,Elk gammaherpesvirus 2
Peploviricota,Herviviricetes,Herpesvirales,Herpesviridae,,Elk gammaherpesvirus 3
Peploviricota,Herviviricetes,Herpesvirales,Herpesviridae,Varicellovirus,Cervid alphaherpesvirus 3
Peploviricota,Herviviricetes,Herpesvirales,Herpesviridae,Rhadinovirus,Ruminant rhadinovirus 2
Cossaviricota,Papovaviricetes,Zurhausenvirales,Papillomaviridae,,Bovine papillomavirus 7Z
Cossaviricota,Papovaviricetes,Zurhausenvirales,Papillomaviridae,,Cervus elaphus papillomavirus KE-2008
Cossaviricota,Papovaviricetes,Zurhausenvirales,Papillomaviridae,Epsilonpapillomavirus,Epsilonpapillomavirus 2
Nucleocytoviricota,Pokkesviricetes,Chitovirales,Poxviridae,Parapoxvirus,Parapoxvirus of red deer in New Zealand
,,,Anelloviridae,Iotatorquevirus,Torque teno sus virus 1b
Peploviricota,Herviviricetes,Herpesvirales,Herpesviridae,Rhadinovirus,Type 2 ruminant rhadinovirus
Cossaviricota,Papovaviricetes,Zurhausenvirales,Papillomaviridae,Xipapillomavirus,Xipapillomavirus 5
Negarnaviricota,Monjiviricetes,Mononegavirales,Rhabdoviridae,Lyssavirus,Lyssavirus australis
Pisuviricota,Pisoniviricetes,Nidovirales,Coronaviridae,Betacoronavirus,Coronavirus PREDICT CoV-41
Negarnaviricota,Ellioviricetes,Bunyavirales,Nairoviridae,Orthonairovirus,Issyk-kul orthonairovirus
Negarnaviricota,Ellioviricetes,Bunyavirales,Nairoviridae,Orthonairovirus,Issyk-kul orthonairovirus
Negarnaviricota,Ellioviricetes,Bunyavirales,Peribunyaviridae,Orthobunyavirus,Kaeng Khoi orthobunyavirus
