Gene,C,Z,Pval,FDR,Module
AC090204.1,0.7319036191857112,343.63938737850395,0.0,0.0,1.0
MTRNR2L5,0.7573873046496115,290.676961949795,0.0,0.0,1.0
MTRNR2L1,0.6991412332376347,287.94257249834993,0.0,0.0,1.0
FP236383.1,0.6868718760349116,280.2166069522425,0.0,0.0,1.0
ERBB4,0.652043648123323,263.2605522061232,0.0,0.0,1.0
MTCO3P13,0.6669571683937037,253.6111302288393,0.0,0.0,1.0
MTRNR2L10,0.6577031457613346,236.06993050787634,0.0,0.0,1.0
MTCO2P9,0.6260820476195985,230.39823965981532,0.0,0.0,1.0
MTCO3P22,0.5272954422937309,215.04888222547135,0.0,0.0,1.0
PGA5,0.42680866516878785,208.60090000440957,0.0,0.0,1.0
MTCO2P34,0.6206783856712843,199.36843419589425,0.0,0.0,1.0
ZNF571-AS1,0.5815271048015582,197.89735234364034,0.0,0.0,1.0
AAMDC,0.5206788311414359,185.50813453439105,0.0,0.0,1.0
ANKRD30BL,0.5627722934290609,175.4194503036289,0.0,0.0,1.0
RNA5SP62,0.6042430986069708,163.33157044224583,0.0,0.0,1.0
ZNF385B,0.49152151279105466,159.9535120371334,0.0,0.0,1.0
MTRNR2L7,0.4401233720260577,151.64670725964888,0.0,0.0,1.0
ATP1B1,0.46645669622407965,151.105717945674,0.0,0.0,1.0
RNA5SP202,0.5332619712559907,148.53357983697785,0.0,0.0,1.0
MTCO3P31,0.4960984547006821,148.4297556817357,0.0,0.0,1.0
MTRNR2L11,0.4754643672147913,146.88055438572124,0.0,0.0,1.0
CHIA,0.5028690262026945,145.5343766673215,0.0,0.0,1.0
PGC,0.40567086569655375,144.36832030561624,0.0,0.0,1.0
GRID2,0.49646426505483954,137.84366867979583,0.0,0.0,1.0
MTCO1P25,0.48636320482688167,137.12671511582803,0.0,0.0,1.0
AC007547.3,0.3919181202824679,136.45793159187767,0.0,0.0,1.0
MECOM,0.40550037422474416,134.57891333959117,0.0,0.0,1.0
UNC45B,0.35504501343651873,131.0620305295915,0.0,0.0,1.0
BACH2,0.5982043062575578,127.62135494875018,0.0,0.0,9.0
GCNT1,0.42312865315121834,121.29257075877591,0.0,0.0,1.0
DHFR,0.5069199086973772,118.56216478351641,0.0,0.0,1.0
CD247,0.539505231550548,117.6278048554882,0.0,0.0,17.0
NAMPT,0.4545430596428624,117.48958602875123,0.0,0.0,20.0
