0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
FRYL,RPL39,SMC6,RUBCNL,PPP6R3,AC109927.1,PXDN,HERPUD1,RNF130,RPL4,USP37,FIP1L1,FNBP1,MELK,IL2RB
BCR,MT-ND5,MTMR1,BLK,AC004922.1,LINC01320,PPFIBP1,MT-RNR1,MNDA,USO1,WHAMM,IRF4,PBX1,RPLP2,ENOSF1
SNTB1,XRN1,COMMD10,SMAD3,BCAS3,AC098588.2,CEP112,SEC31A,ETV6,TNKS2,LPIN2,SCFD1,RCOR1,PITPNB,SLC9A9
CAST,MYDGF,GRB2,BCL11A,TENT4B,PTPRO,EFNB2,ATG13,RIN2,GALNT2,TXNIP,SCARB2,AC017083.3,CNR2,AK5
MIR646HG,RPN1,RUNX1,ZBTB16,NUMA1,AC099673.1,EPB41L2,FCHSD2,STK10,JMY,DOCK10,AC008014.1,ARID4A,NSD1,COQ8A
EVL,RHBDD1,MARCH1,FAM117B,NFATC2,AC007402.1,FAM241A,MDM2,CREB5,CARMIL1,KTN1,TMED5,ELMSAN1,AGK,DOCK8
ARPC2,RPL28,DAPK1,JAZF1,DTHD1,AC004830.1,RANBP17,EAF2,CAST,EDEM1,EFL1,PABPC4,XPO7,GLUD1,SEPSECS
CCND3,KCNQ5,MIR181A1HG,KCNH8,SHLD2,FAM135B,STK32B,XRN1,FAR1,GALK2,TRIM33,STK4,TFDP2,SUGT1P4-STRA6LP,AC005258.1
BTBD9,IKZF3,RASSF2,SREBF2,PPP1R16B,AL110292.1,IGF2,ARFGEF2,CHSY1,ZBTB38,SORL1,FER,AC005699.1,MTF2,NR3C2
RBL2,SEC63,ACSL3,AC027097.2,PXN,LINC01579,IGFBP7,KCNQ5,WDFY2,HERPUD1,RACK1,SLC44A1,DNAJC15,SLC25A40,CRPPA
PPP1R12A,TPP2,NPC1,NPAT,SSH2,EPHA6,NRP2,AC016074.2,ZDHHC20,DIPK1A,CHD1,TBC1D15,DDX17,GALNT10,ORC3
SMARCA2,RPL37A,BTAF1,PPM1B,RUNX1,CACNB2,PLXDC2,MON2,EVI5,RALGPS2,NHSL2,PITPNB,PDS5B,ZNF680,HMGB2
OGA,CCNC,IGF2R,FAM107B,ZFYVE28,SYT14,MTUS1,ATF7IP2,ZMIZ1,PTPRG,ARHGAP5,TRIB1,DAB1,MCPH1,NLRP1
PPM1L,DIPK1A,CARD11,MT-ATP6,BCL11B,LINC02458,FARP1,RALY,DGKG,STAM,TRPS1,TPP2,CCDC6,CUL9,UTP20
TNRC6C,COBLL1,PREX1,WASHC4,GPRIN3,MSR1,PARD3,SECISBP2L,TLE3,GOLGB1,STT3B,SEC11C,LPGAT1,ABHD3,TDP1
GPRIN3,CALR,STAMBPL1,CD53,ADAM10,AC096570.1,RRM2,GALNT2,SULF2,RPLP2,SELL,PTPN1,AC008758.6,ZNF567,SLC30A5
ATP11B,PCCA,PIK3CD,MARCH3,HIRA,AC013287.1,MAP4K4,ABCA5,PSTPIP2,FCHSD2,NFE2L2,RALGPS2,DOCK7,H6PD,GCLC
ZC3HAV1,AC016074.2,AL159163.1,HVCN1,MGAT4A,ANK2,RN7SKP120,NBAS,ATP13A3,AC078883.1,RHOA,RPS19,LRBA,RSRC1,EIF4E2
ARHGAP10,RNF19A,RERE,RB1,PPM1L,GLIS3,CAV1,WIPF1,FOSL2,AC104123.1,KIF1B,ZNF644,NCOA7,TSPOAP1,RIN3
RNF125,PMM2,RPS6KA2,RPS8,BIN2,AC018742.1,ZC3H12C,AC009570.2,ZNF438,NUGGC,AC078881.1,RHOH,CDC73,ITGB1BP1,UTRN
PDE4D,CYTIP,IKZF1,UBE2E2,TMC8,ST8SIA1,LTBP1,ANKRD10,B4GALT5,TNRC6A,BDNF-AS,GLG1,RALGAPA2,ADAMTS6,KCMF1
BIN2,P4HB,PRKCA,CHMP3,PDZD8,GABRB3,SERPINE1,CPEB4,IQGAP1,AP005263.1,AC068051.1,EDEM1,UBE2E1,PEF1,CDC42SE1
YPEL1,MTRNR2L1,TRAPPC9,RPL12,LPP,AC002460.2,SH3D19,EXOC4,CTNNB1,KMT2C,MDFIC,RBM26,PNISR,PRPF18,SSX2IP
NOL4L,IRF4,LINC01226,PPARD,AXIN1,LINC00861,SOD2,VWA8,FYN,TMEM39A,ARID4B,ACSS1,ZNF521,PSAT1,AC124319.3
LINC01278,PIM2,PAN3,NR3C2,AC005747.1,RN7SL5P,RAI14,IFNAR2,MYO9B,SETBP1,RAD21,TBL1XR1,FOCAD,MEMO1,ZFP36L1
PRKCA,RPS12,SNHG14,PHTF2,FAM13B,DGKI,CDKN1A,DNAJC7,NFKB1,AGPS,FAM102A,HM13,RNF130,MAP3K14,PARP4
EFHD2,UBE2H,LINC00996,AP1S3,KIAA0319L,SLC25A21,RBPMS,SEC14L1,JUNB,CADM1,STAG1,RPL13,AC092969.1,LINC01934,ADGRL2
SLC38A1,AC027290.2,PTK2,ARHGAP32,DENND4C,KCNIP1,NCKAP1,GALNT1,NRG1,XRRA1,RAB5A,USP3,RUNX2,ZNF431,RAB27B
STIM1,MON2,PLEK,CHMP7,RAP1B,LINC01414,RBFOX2,LCORL,UBAP1,EIF2AK3,SNORD46,OSBPL3,TNS3,PTPN12,NMT2
SPON2,CDK6,CLCN5,TBL1X,SUGP2,LINC01322,WWTR1,FAM214A,ALPK1,IL6ST,SF1,COL4A4,MOB1B,NCAPG,FGD4
SRPK2,GORASP2,ALCAM,UBAC2,MYH9,ANKFN1,FLT1,ETV6,OSBPL8,NSMAF,AFG1L,MTDH,ELF2,HTATSF1,SCAF11
PSME4,PHF21A,TM9SF2,PARP15,SUPV3L1,PSD3,TNFRSF10B,RBM47,AF241726.2,HIVEP2,DUSP10,NBAS,CYFIP2,MIGA1,AC131160.1
TGFBR1,AHNAK,GAB2,CD37,SNRK,AL391117.1,KCNN2,DNAJC10,NCOA2,ATXN1,TMX4,RAB3GAP1,MAML2,RPN1,EIF3B
IGF1R,LIMD1,SLC20A1,ADARB1,SLC4A4,LRRC7,EPB41L4A,HIBCH,PACSIN2,EXOC4,ASXL1,SEC63,AF117829.1,GOLPH3,SP1
IQGAP2,SNX25,NEGR1,RAB30,GZMB,AL162726.3,ANXA1,PABPC4,PECAM1,CHD7,XPO7,ATP5F1A,RANBP2,DUT,KIF21A
SSBP3,CADM1,DOCK2,TMEM156,SPPL2A,PTPRN2,YBX3,DNAJC1,TANK,SAMSN1,WWP1,CCPG1,FKBP5,NELFA,RPL24
ZFAND3,RASGRP3,TET2,STAP1,FGFBP2,PEBP4,TMEM163,RPLP1,FOXP1,IGF1,TRAT1,SLC38A2,CGGBP1,OLA1,DNAJB6
ATXN1,VIM,JAML,AGO2,KCNAB2,NTM,RGS12,ENTPD1,NFKBIA,PHC3,RPS6KA3,TXLNGY,JAKMIP2,INSIG1,NCL
IQGAP1,GLS,TBL1XR1,CEMIP2,FP671120.2,MIR4300HG,AL357507.1,FOXN2,DDX3X,MINDY3,AC091021.1,MT-ATP6,PACSIN2,WDHD1,SF3B3
HERC1,MYCBP2,MEF2C,USP6NL,PCSK7,LINC01500,PTPRG,CCDC91,SPIDR,ECPAS,TLE5,GPHN,ETV6,GRK2,PGRMC2
TRAPPC10,RAB30,RBM47,AC008695.1,CD226,DEC1,KIT,ATXN7L1,IL1B,PDE4B,UBN1,USP6NL,YWHAQ,FAM78A,RN7SK
ADAM10,MTDH,CCDC69,RAB8B,GSAP,ASIC2,SAMD4A,COL4A4,GRB2,STT3B,ELK4,RPL3,GUCY1A1,ENTPD4,RNF125
ZNF800,PTPN1,FAM117B,RELB,OGA,AC008415.1,FILIP1,RPN1,GPR141,TTC3,FURIN,RAPGEF1,MAP3K2,ADD3,CDK19
ITK,NXPE3,ATP10A,STK4,ARAP2,PLPP7,HECW2,ERBIN,AQP9,ST8SIA4,TAF3,TLK1,MRTFA,CEP95,JAKMIP2
JAKMIP2,EAF2,PPM1K,RN7SK,FOXN3,LINC01811,APOLD1,MEF2A,DLEU2,HDLBP,MIOS,BCL2L11,HMGA2,AP3B1,YPEL1
TMEM71,SEL1L,CCDC186,LINC01588,SLCO3A1,DSCAML1,KIAA1324L,AFTPH,ARHGAP24,DHX15,CUL1,SLC12A6,MED12L,RASGRP1,PATJ
APMAP,SEC24A,FYTTD1,TLE1,MADD,AC092650.1,CCL2,PDIA4,RAB20,DYM,HEATR5B,UBE2H,PNPLA8,SMC2,CKAP5
SLA2,RPS21,SLC41A2,AC027097.1,CEP78,IMPG1,MYCT1,EML6,SLC49A4,ARL5B,SUSD4,MEF2A,AC090630.1,TTLL11,TTC13
GALNT11,EIF5B,OFD1,RPS19,ZBTB16,SPRY4-AS1,FNBP1L,PCCA,FBXL5,PCMTD1,CWC15,RMRP,DENND4C,MCM3AP,RPL35A
SUSD1,UBA52,C22orf34,CD55,GBP5,TENM3,ASAP2,RBL2,MED13L,LARP1,ST3GAL1,IKZF3,LRRFIP2,Z83843.1,NDUFS6
ATP8B4,SLAMF7,FLT3,USP8,PIK3R1,ATRNL1,ZNF521,MAP3K1,BCL6,RHBDD1,LINC00987,DUSP5,NPTX2,TASOR2,TMED5
