0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
CTBP2,MT-RNR1,PTPRS,ITPR1,RUNX3,CPNE4,ZFPM2,TP53INP1,CTSS,GAB1,MAML2,RASGRP3,ABLIM1,MT-RNR1,MSN
TXK,AL589693.1,SETBP1,REL,ITK,SLC24A3,RASAL2,TRIO,IRAK3,TP53INP1,LINC01619,ARHGAP42,ZMYM4,HELLS,SESN3
AC124319.1,GAB1,SCN9A,PELI1,TOX,ANKS1B,DOCK9,COBLL1,TLR2,ANKRD28,RPS6KA5,NUGGC,EGFEM1P,SFPQ,LUC7L3
PITPNC1,HLA-B,BX571818.1,SMCHD1,AC124319.1,ADARB2,DIAPH3,SUB1,NLRP3,FNDC3A,IL7R,DNAJC1,PRKG1,NSD2,KLRF1
BNC2,SSR3,COBLL1,CCND3,KLRD1,ADAMTSL1,CHSY3,MTRNR2L1,AGTPBP1,MSI2,LINC01229,PRDM1,TOX,ACTB,PAM
PRF1,MT-RNR2,DACH1,MARCH1,SAMD3,ROBO2,EMCN,ANKRD36BP2,PICALM,LMAN1,BACH2,MEF2C,VAV3,PTBP1,TGFBR3
PARP8,SEC24D,MAPKAPK2,ADAM28,DIP2A,MACROD2,PRKD1,MANEA,FAM49A,SEC14L1,SOS1,CDK6,CARMIL1,SLC2A13,ANKRD11
ARAP2,ESR1,RNF130,ZHX2,DDX6,NAALADL2,FMNL2,C11orf80,MPP7,OSBPL10,HDAC4,POU2AF1,PLEKHA5,KIF20B,ZMAT4
SLFN12L,RPLP1,ZFAT,SNX29,C1orf21,PARD3,NFIB,RAB30,DENND1A,FBXW7,SLFN5,CDK14,ERMP1,PSIP1,PRRC2C
AGTPBP1,SAMD12,ZDHHC17,BRAF,YES1,CNTNAP5,RASGRF2,KCNMA1,HIF1A,PDK1,TMEM131L,IGKC,WDFY2,UCK2,EFCAB14
NCAM1,LMAN1,PLAC8,SP100,CBLB,CADM2,TUSC3,PRDM1,ANPEP,ANKRD36BP2,PCNX1,ATXN1,FRMD4B,DHX9,ITK
CBLB,MED13L,PHEX,PRDM2,LINC00299,LINC02055,KITLG,IRF4,FCN1,ELL2,UST,SPATS2,CDK19,MATR3,RORA
ATM,RPN2,INPP4A,BIRC3,PARP8,TMEM132D,ARHGAP29,DIPK1A,VMP1,MAP3K1,EFHC2,SEC24D,PROM1,TMEM131,NKG7
PIK3R1,RPS6,HS3ST3B1,FOXO1,AKNA,CNTN5,LAMC1,ITGB1,DYSF,MEF2C,RAD51B,PDK1,DAPK1,REPS1,MTCO3P43
PTPRC,SEL1L3,GNAQ,ARHGAP24,STK10,OTX2-AS1,COL4A1,SEC24D,PFKFB3,PIP5K1B,PDE3B,AKAP9,DACH1,UGGT2,MTCO3P5
CNOT6L,GLCCI1,SLC15A4,AUTS2,GNG2,NAV3,CA8,TRAM1,DENND5A,RAB30,SLC4A7,UBE2G1,STARD9,DHX15,RNA5SP267
DOCK10,CDK14,CDYL,IL4R,FAM49B,SOX2-OT,PTK2,PDK1,FOXO3,VOPP1,RBMS1,GLDC,AFF1,POLE2,AL158069.2
C5orf56,TPD52,SNX9,PACS1,GRIK4,LRP1B,RALGAPA2,MYCBP2,PELI2,GLS,PAG1,TMEM156,LDLRAD4,ROCK2,RNA5SP302
MACF1,FBXW7,MPEG1,BCL2,MSN,SYN3,DGKH,TPD52,PLEK,SEC24D,DPYD,GMDS,RAB31,CSNK1G1,AP001021.1
KLRF1,SEC11C,SULF2,DENND4A,HIVEP3,ERBB4,PEAK1,ST6GAL1,RBM47,MBNL2,CASC15,PDIA4,ST8SIA6,OTULIN,RNA5SP242
PDGFD,SMCHD1,KCNK10,GNG7,MAPK1,AC091078.1,ZNF385D,DENND1B,ATG7,RRBP1,GAS5,UBR5,DPYD,LPIN1,AC239727.1
SORL1,MSI2,AUTS2,SIK3,UTRN,PLCL1,PLCB1,CYTIP,GNAQ,FAM214A,PTBP2,PELI1,TSC22D1,DOCK10,PCBP2
PRKCQ,EDEM1,PTPRE,AP000893.2,CARD11,AC026316.4,ARHGEF28,MBNL2,WDFY3,OSBPL3,LPP,HIPK2,MSI2,SLAMF6,RPS27A
PLCB1,ARHGAP42,UBE2E2,AL627171.2,AOAH,RGS6,PTCHD4,OSBPL10,LYST,SSR3,TNIK,ANKRD36BP2,PDE7A,PDE4D,ATP5MD
DPYD,RPL11,ZEB2,PDE7A,LITAF,DPP6,CALD1,OGT,GPCPD1,GMDS,PATJ,XRN1,PCMTD1,FANCC,GAB3
SYTL3,DNAJC3,SH2B3,NUP88,CNOT6L,CNTN4,THSD4,SMCHD1,CPPED1,CYTIP,PCAT1,ATRX,PDGFC,AC078778.1,LAMB1
RUNX3,DENND1B,HDAC9,TMEM131L,PLCB1,SGCZ,PREX2,MSI2,MANBA,TRAM1,ADAM19,ENTPD1,BCL11A,VPS13C,ARSD
LPP,ANKRD28,LDLRAD4,GABPB1,ATP8B4,CTNND2,SPTBN1,AC008014.1,TBL1X,HSPA5,PHACTR2,MT-CO3,RPS6KA3,PUM2,TRAPPC8
FAM172A,MT-ATP6,RAB11FIP1,LARGE1,ARHGAP26,CDH13,ADAMTS9,ARID5B,AC004593.3,MT-RNR1,MLLT3,FNDC3A,MACF1,ASPM,ATP1B1
ETS1,RPS8,LHFPL2,CCSER1,FLNA,TRPM3,AFDN,ARFGAP3,EMILIN2,ERN1,ELOVL5,PPIB,SCN3A,ITFG1,PPP2R2B
NKG7,PPIB,SYK,ABCG1,DIAPH1,USH2A,MCTP1,LMAN1,ZSWIM6,PLCG2,KLRB1,MAP3K1,TAOK3,RUNX3,CKS2
SAMD3,ITM2C,COL24A1,TNRC6B,ZEB2,DNAH9,ZEB1,RALGPS2,AOAH,SND1,PLXDC2,TPT1,SMAD2,PAXBP1,AL359736.1
SYTL2,XBP1,UVRAG,EIF2AK3,MCTP2,SORCS1,LHFPL6,TSHZ2,NFKBIZ,COBLL1,FAM107B,OGT,SEMA3C,TFB1M,RNA5SP352
SGCD,ANKRD36BP2,ANTXR2,NCK2,PRF1,LINC02267,DOCK1,MED13L,STK17B,TVP23C-CDRT4,RNF144A,DNAJC3,LCOR,KDM4C,RFFL
LINC00299,TRAM1,CERS6,RCSD1,STK39,SHISA9,SASH1,PTPN1,AGFG1,PTPN1,SSH2,CD38,IGF1R,SMC3,RNA5SP225
AC068896.1,EEF2,MYO1E,ANKRD11,ARNTL,DGKB,NAV2,TMEM156,MCTP1,HM13,ITK,FBH1,IQGAP2,NPEPPS,PPP2R5C
PPP2R5C,VOPP1,PAG1,ATF7IP,PPP2R2B,AC016766.1,NEDD4,SIL1,EPB41L3,ST6GAL1,LINC01876,LCORL,STK32B,IKZF3,SAFB
TOX,MBNL2,DMXL2,PRRC2C,PTPRC,IQCJ-SCHIP1,SH3RF3,MAN2A1,CD44,TRIO,TNFAIP8,TRAM1,PIK3R1,UBE3A,RNA5SP325
ARHGAP26,TRIO,FAM129C,NFKBID,NCAM1,AL136456.1,IQCJ-SCHIP1,CCPG1,DIAPH2,ESR1,TESPA1,STT3B,L3MBTL4,RPL36,RPS20
VAV3,RRBP1,AC006978.2,C12orf42,ADGRE5,AC068633.1,PTPRB,PELI1,CUX1,ADAM19,AC097634.4,RPS4X,GNAQ,MT-CO2,CRTC3-AS1
HIVEP3,SLC44A1,CD36,SP140,CHD1,AC099520.1,PLS3,ELF1,SAT1,CLIC4,PTPN4,ADAM19,ILF3,RPL5,RPL19
DIAPH1,EIF2AK3,NRP1,ATP2B1,GPR141,THSD7B,CTNNA1,XBP1,SBF2,SMCHD1,ANK3,DENND5B,AF127577.4,NDUFA10,EEF1A1
MBNL1,ERC1,AKAP13,RN7SL1,TFDP2,FAM174B,TMTC1,RAPGEF2,FAM49B,USP48,SENP7,USP48,GNAI1,KIF2A,KLF3
GNLY,SETBP1,RAP1GDS1,MT-ND4,SPON2,GALNTL6,ITGA6,CDK6,RIN3,TMED10,SCML4,DENND1B,CUX1,PTMA,CNST
AKNA,CLINT1,MDFIC,ARID5B,AC105402.3,ZNF385D,HSPG2,RHBDD1,IQSEC1,SEL1L,RIPOR2,SEC14L1,ANTXR2,LATS2,ARF3
RUNX1,ST6GAL1,FLNB,SESN3,CCND3,KCNJ6,VWF,TPT1,LAPTM5,SSR4,PABPC1,GLS,ST3GAL1,FBXL5,ZNF845
STK10,BCL2L11,RELL1,AC016831.7,GNPTAB,PKN2-AS1,RAPH1,ZBTB20,VIM,CDK6,ERVMER61-1,UBE2J1,ZNRF1,GABARAP,AL645465.1
CD226,EVI5,JMJD1C,AC120193.1,GK5,DMD,ARHGAP31,HIPK2,MAML2,PELI1,USP9Y,ST6GAL1,SH3RF1,THADA,HIPK1
JAK1,PDK1,SUZ12P1,SNX2,EPB41,AL008633.1,SPARCL1,NDUFAF6,SLCO3A1,MCTP2,SATB1-AS1,CEP128,CD109,ARHGEF3,APEX1
